Transcription-Units	Accession-1
TU0-4681	b4268
TU0-42540	b1377 // b1378
TU0-6941	b3782 // b3783
TU0-14547	b4085 // b4086 // b4087 // b4088
TU0-13095	b0944 // b0943 // b0942 // b0941 // b0940 // b0939
TU0-42543	b3225
TU0-14302	b3428 // b3429 // b3430 // b3431 // b3432
TU0-13363	b1671 // b1670 // b1669
TU0-8532	b1601
TU0-13751	b2836 // b2835
TU162	b3404 // b3405
TU0-1701	b1597
TU0-4288	b4018
TU681	b2552
TU0-8748	b2869
TU0-14111	b4026
TU0-45214	b3726 // b3727 // b3728
TU00230	b0185
TU00008	b2600 // b2601
TU0-1441	b1950 // b1949 // b1948 // b1947 // b1946 // b1945 // b1944
TU0-13576	b2272
TU0-8338	b2778
TU621	b4138
TU0-14252	b0436
TU0-7281	b3280 // b3281 // b3282 // b3283
TU00020	b0150 // b0151 // b0152 // b0153
TU0-13147	b1138 // b1137
TU0-13138	b1113
TU0-13896	b3232
TU0-13416	b1810
TU0-44196	b0512
TU0-13677	b4805 // b2597
TU0-14751	b0620 // b0619
TU0-13306	b1527
TU0-36420	b3724
TU0-42684	b3960
TU00069	b4058
TU302	b0368 // b0367 // b0366 // b0365
TU00087	b4054
TU262	b3856 // b3857
TU0-13458	b4495
TU0-8224	b3828
TU0-1423	b0095
TU0-45187	b3700 // b3701
TU0-2706	b3938
TU0-14057	b3858
TU0-13556	b2184
TU0-14051	b3832
TU0-45276	b1597
TU0-8267	b1741
TU0-14068	b3882 // b3881 // b3880
TU0-14433	b3515 // b3516
TU0-13819	b2988
TU0-14286	b3096 // b3095
TU0-14178	b4271
TU0-14692	b3728
TU0-12819	b0148
TU0-45231	b1492 // b1493
TU0-8590	b3561
TU0-13745	b2826 // b2825 // b2824 // b2823 // b2822
TU0-42578	b0759
TU0-14389	b3251
TU0-13798	b2921
TU0-8802	b3447
TU0-41795	b1497 // b1498
TU00195	b0931
TU0-42462	b1483 // b1484 // b1485 // b1486 // b1487 // b1488
TU0-13723	b2740
TU0-14506	b0514
TU00056	b4005 // b4006
TU0-14105	b4011
TU0-13031	b0715
TU0-12893	b0322
TU0-13109	b0988 // b4516
TU0-13463	b1963 // b1962
TU0-12915	b0391
TU0-3721	b4067 // b4068 // b4069
TU441	b1095 // b1094
TU0-12994	b0603
TU0-8645	b1811
TU0-8731	b2270
TU0-13121	b1036
TU0-14257	b1712 // b1713 // b1714 // b1715 // b1716 // b1717 // b1718 // b1719
TU0-14415	b2306 // b2307 // b2308 // b2309
TU0-42483	b0953
TU00045	b4813 // b1223
TU0-6661	b1860 // b1861
TU0-8659	b3146
TU0-13790	b2900
TU0-14676	b0861 // b0862 // b0863 // b0864
TU0-8678	b0947
TU0-13252	b1414
TU0-13978	b3550 // b3549
TU0-14715	b2429 // b2428
TU0-8592	b3585
TU0-13297	b4696
TU0-13762	b2851
TU0-8674	b0900
TU0-13316	b1545
TU0-13608	b2371
TU0-13502	b4436
TU0-14702	b3038 // b3037 // b3035
TU490	b0440
TU0-3382	b0755
TU0-13073	b0867 // b0866
TU0-13564	b4543 // b2244
TU0-8575	b3154
TU0-8201	b0865
TU0-8487	b2418
TU0-14653	b2779
TU0-12853	b0234 // b0233 // b0232 // b0231
TU0-8639	b1585
TU0-14629	b1636 // b1637
TU0-12897	b0327
TU00415	b1920 // b1921 // b1922
TU0-13209	b4742 // b1296 // b1297
TU0-13013	b0650
TU0-42544	b4309 // b4310 // b4311
TU0-3302	b3700
TU0-45221	b2696
TU0-8763	b4444
TU0-14146	b4155
TU0-8324	b4813 // b1223
TU0-6660	b3164 // b3165
TU-8394	b3026 // b3025
TU00029	b4836 // b3868 // b3869 // b3870
TU0-14077	b3910
TU00034	b3942
TU0-8355	b3635
TU0-8082	b2925 // b2926 // b2927
TU00277	b3178 // b3179
TU0-14307	b2807
TU0-7182	b4616
TU0-6510	b3956
TU0-13140	b1115
TU0-3304	b1718
TU65	b1988
TU0-12832	b0187
TU00303	b4828 // b1887 // b1888 // b1889 // b1890
TU0-13225	b1344
TU0-8638	b1452
TU0-42628	b3183 // b3184 // b3185 // b3186
TU0-8781	b3182
TU542	b1749
TU0-45168	b3741 // b3740
TU161	b3404 // b3405
TU0-44204	b0732
TU0-13326	b1565
TU00209	b1852
TU0-13367	b4430
TU0-14404	b4547 // b2472
TU00005	b0273
TU0-6363	b0780
TU0-13023	b0686
TU0-14617	b0597
TU0-14471	b0657 // b0658 // b0659 // b0660
TU0-8631	b0295
TU0-45146	b3214
TU0-1341	b2916
TU0-13821	b4658
TU0-7805	b0677
TU0-14638	b2094 // b2093 // b2092 // b2091 // b2095
TU00308	b3481 // b3476 // b3477 // b3478 // b3479 // b3480
TU00164	b0592
TU0-13334	b1582
TU-8417	b3527
TU0-13072	b0859 // b0858
TU0-14359	b2217 // b2216
TU00054	b1131 // b1132
TU0-12787	b0005
TU0-14651	b2741
TU-8441	b4209
TU0-12862	b0256 // b4587
TU0-14141	b4144
TU0-42477	b0076
TU0-8721	b2069
TU0-8513	b0877
TU0-6702	b0724 // b0723 // b0722
TU0-13338	b1593
TU0-13063	b0832 // b0831 // b0830 // b0829 // b0828
TU0-8501	b3824
TU00248	b1733 // b1734 // b1735 // b1736 // b1737 // b1738
TU0-13413	b1807 // b1806
TU0-198707	b1820 // b1819 // b1818 // b1817
TU0-8352	b1060
TU0-7781	b3207
TU0-14121	b4055
TU0-8543	b0213
TU00259	b3700 // b3701 // b3702
TU0-13609	b2372
TU00138	b3588
TU0-36435	b4029 // b4028 // b4027 // b4026
TU0-13425	b1831 // b1830
TU00432	b3495
TU0-42518	b3782
TU0-5761	b4452
TU00106	b0720
TU00182	b3212 // b3213 // b3214
TU0-8472	b2818
TU0-8568	b0807
TU0-6509	b1677
TU0-1783	b2942
TU00399	b3989
TU488	b0440
TU0-13774	b2871
TU0-13080	b0893
TU00167	b1252
TU0-44205	b1397
TU0-13695	b2637 // b2636 // b2635 // b2634
TU0-6241	b4618
TU0-14202	b4335 // b4334
TU0-8844	b4421
TU0-13362	b1668
TU0-13746	b2830 // b2829
TU0-13391	b1766
TU0-12802	b0057 // b0056
TU00461	b0980
TU0-8789	b1952
TU00214	b0061 // b0062 // b0063
TU00163	b0583 // b0584
TU0-8623	b4308
TU0-3941	b0093
TU0-13975	b3546
TU0-8497	b4422
TU00152	b4079
TU0-8658	b3071
TU0-14495	b0101
TU00427	b3461
TU0-44217	b0121
TU0-8597	b3684
TU0-13853	b3081
TU00011	b0388 // b0389 // b0390
TU00323	b2502 // b2501
TU0-1189	b0205 // b0204 // b0203 // b0202 // b0201
TU0-13988	b3592
TU0-1803	b1303
TU0-13675	b2594 // b2593
TU0-12801	b0055
